caller_addr,call_type,target_addr,target_first_instruction
0x8E9C,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x8EF8,RCALL,0x8E28,"MOV #0x2, W0"
0x8F3C,RCALL,0x8E28,"MOV #0x2, W0"
0x8F68,RCALL,0x8E28,"MOV #0x2, W0"
0x8FAE,RCALL,0x8E28,"MOV #0x2, W0"
0x90F0,RCALL,0x8E28,"MOV #0x2, W0"
0x90F4,RCALL,0x8EA0,"MOV 0x80E, W1"
0x90F6,RCALL,0x8F1E,"MOV 0xE1E, W0"
0x90F8,RCALL,0x8F82,"MOV 0xE1E, W0"
0x90FA,RCALL,0x8FB2,"MOV 0xA06, W2"
0x9416,CALL,0x62DC,PUSH.S
0x9584,RCALL,0x6090,"MOV.D W8, [W15++]"
0x958E,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x9594,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x9596,RCALL,0x61CA,"MOV.D W0, W2"
0x95A6,RCALL,0x6090,"MOV.D W8, [W15++]"
0x95B0,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x95B6,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x95B8,RCALL,0x61CA,"MOV.D W0, W2"
0x95C0,RCALL,0x6090,"MOV.D W8, [W15++]"
0x95CA,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x95D0,RCALL,0x61A6,"MOV #0x1, W4"
0x96DE,RCALL,0x96B8,"MOV PDC6, W1"
0x96E0,RCALL,0x953A,"MOV.D W8, [W15++]"
0x9760,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x97C8,RCALL,0x6320,"MOV W0, [W15++]"
0x9812,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x9816,RCALL,0x97BE,"MOV #0x806, W0"
0x9818,RCALL,0x97E4,"BSET 0x401, #2"
0x9846,RCALL,0x9FC4,"MOV #0x29, W0"
0x9848,RCALL,0x9AE4,"MOV #0x5C00, W0"
0x984A,RCALL,0xA004,CLR W0
0x984C,RCALL,0xA042,"MOV #0x9C40, W0"
0x984E,RCALL,0x7F28,"MOV #0x1A, W0"
0x9852,RCALL,0x9982,"MOV W0, W1"
0x9854,RCALL,0x9BDE,"BSET 0x2D5, #7"
0x9856,RCALL,0x9816,RCALL 0x97BE
0x9858,RCALL,0x8CEC,"BSET 0x483, #6"
0x985A,RCALL,0xA052,CLR W1
0x9866,RCALL,0x70EC,"MOV W8, [W15++]"
0x986C,RCALL,0x9982,"MOV W0, W1"
0x9872,RCALL,0x9982,"MOV W0, W1"
0x9874,RCALL,0x6344,LNK #0x4
0x9876,RCALL,0x7564,"BCLR 0xDCA, #0"
0x9878,RCALL,0x756A,"BTST 0xDCA, #0"
0x987A,RCALL,0x63D8,"MOV 0xA18, W0"
0x987C,RCALL,0x7F50,"MOV 0x9CC, W0"
0x987E,RCALL,0x99AA,"BTST 0x88A, #4"
0x9880,RCALL,0x9D24,RCALL 0x9CA2
0x9882,RCALL,0x90F4,RCALL 0x8EA0
0x9884,RCALL,0x727A,"MOV W8, [W15++]"
0x9886,RCALL,0x99D2,"MOV 0x816, W0"
0x9888,RCALL,0x9A10,"MOV 0x81C, W1"
0x988A,RCALL,0x9A48,RCALL 0x96E4
0x988C,RCALL,0x9A64,"MOV 0xE1E, W0"
0x988E,RCALL,0x9AB4,"MOV 0x8C0, W1"
0x9890,RCALL,0x84A4,RCALL 0x8104
0x9892,RCALL,0x9B46,"BTST 0xDCA, #3"
0x98D0,RCALL,0x9BEA,"BTST 0x9A6, #2"
0x98E8,RCALL,0x9B1E,"BCLR IEC0, #3"
0x98EA,RCALL,0x9AF8,"MOV.D W8, [W15++]"
0x98EC,RCALL,0x9B32,"BSET IEC0, #3"
0x98F6,RCALL,0x9C10,CLR W0
0x9906,RCALL,0x9516,"BSET 0x9F0, #5"
0x9910,RCALL,0x9C3A,"MOV 0xD4C, W4"
0x992C,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x9936,RCALL,0x9C3A,"MOV 0xD4C, W4"
0x9938,RCALL,0x96DE,RCALL 0x96B8
0x993C,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x9940,RCALL,0x9982,"MOV W0, W1"
0x995A,RCALL,0x9AE4,"MOV #0x5C00, W0"
0x9972,RCALL,0x9AF8,"MOV.D W8, [W15++]"
0x9974,GOTO,0x5000,"MOV #0xC40, W15"
0x997E,RCALL,0x8C54,"BTST 0x85E, #4"
0x99B4,RCALL,0x998E,"MOV #0xF, W0"
0x99C2,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x99E2,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x9A04,RCALL,0x998E,"MOV #0xF, W0"
0x9A2C,RCALL,0x94C0,"BCLR 0x9D4, #4"
0x9A48,RCALL,0x96E4,"MOV 0x9F0, W4"
0x9AF0,RCALL,0x9EA6,"MOV.D W8, [W15++]"
0x9B0A,RCALL,0x9F7E,"MOV.D W8, [W15++]"
0x9B18,RCALL,0x9EDE,"ADD W15, #0x4, W15"
0x9BE0,RCALL,0x9BBA,"BTST 0xA32, #1"
0x9CF6,RCALL,0x9C10,CLR W0
0x9D20,RCALL,0x998E,"MOV #0xF, W0"
0x9D24,RCALL,0x9CA2,"MOV 0xA1E, W1"
0x9DC6,RCALL,0x962A,"BTST 0x9D5, #0"
0x9DFE,RCALL,0x8F40,"MOV 0xE1E, W0"
0x9E3E,RCALL,0x9C10,CLR W0
0x9EBA,RCALL,0x9E74,"MOV.B WREG, TBLPAG"
0x9F42,RCALL,0x9E6C,"MOV.B WREG, TBLPAG"
0x9F60,RCALL,0x9E52,"MOV W0, NVMCON"
0x9FB0,RCALL,0x9E7E,"MOV #0x32, W3"
